GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
challenge,com.edisonchavez.challenge,ChallengeApplication,5,3,0,0,2,1,1,1,1,1
challenge,com.edisonchavez.challenge.starships.service,StarshipsServiceImpl,6,274,6,26,0,63,6,21,0,11
challenge,com.edisonchavez.challenge.shared,PageUtils,59,35,12,8,6,2,11,4,3,2
challenge,com.edisonchavez.challenge.vehicles.service,VehiclesServiceImpl,17,263,12,20,0,63,12,15,0,11
challenge,com.edisonchavez.challenge.people,PeopleController,0,30,0,0,0,6,0,2,0,2
challenge,com.edisonchavez.challenge.films,FilmsController,5,26,0,0,1,5,1,1,1,1
challenge,com.edisonchavez.challenge.people.service,PeopleServiceImpl,17,263,12,20,0,63,12,15,0,11
challenge,com.edisonchavez.challenge.auth,AuthController,23,3,0,0,4,1,1,1,1,1
challenge,com.edisonchavez.challenge.starships,StarshipsController,30,0,0,0,6,0,2,0,2,0
challenge,com.edisonchavez.challenge.config,HttpConfig,0,16,0,0,0,6,0,2,0,2
challenge,com.edisonchavez.challenge.config,CacheConfig,0,98,0,0,0,20,0,2,0,2
challenge,com.edisonchavez.challenge.config,JwtFilter,0,58,1,3,0,16,1,3,0,2
challenge,com.edisonchavez.challenge.config,JwtUtil,0,46,0,0,0,15,0,3,0,3
challenge,com.edisonchavez.challenge.config,SecurityConfig,4,109,0,0,0,21,1,7,1,7
challenge,com.edisonchavez.challenge.config,OpenApiConfig,0,3,0,0,0,1,0,1,0,1
challenge,com.edisonchavez.challenge.exceptions,NotFoundException,4,0,0,0,2,0,1,0,1,0
challenge,com.edisonchavez.challenge.films.service,FilmsCacheRepo,11,16,1,1,1,3,2,1,1,1
challenge,com.edisonchavez.challenge.films.service,FilmServiceImpl,21,104,3,11,3,14,3,9,1,4
challenge,com.edisonchavez.challenge.vehicles,VehiclesController,0,30,0,0,0,6,0,2,0,2
